N,replicate,lambda_emp,lambda_thr_perm97,detect_vs_one,detect_vs_perm
300,79,1.0497994006034028,1.0419217887016055,1,1
300,80,0.9887482155294661,1.0385044861272683,0,0
300,81,1.0235928925915514,1.0382650503373847,1,0
300,82,1.0207976060482722,1.03837124528519,1,0
300,83,1.003280182405758,1.0441280716218655,1,0
300,84,1.0040651921189088,1.0464187330478922,1,0
300,85,1.0105981861872075,1.0346762006641512,1,0
300,86,1.0336176584942918,1.0345733560487715,1,0
300,87,1.0244937503286384,1.0386133647875726,1,0
300,88,1.021137229942502,1.0507636709187684,1,0
300,89,1.0251746553197176,1.0400408112389823,1,0
300,90,0.994207567675724,1.0321216800339166,0,0
300,91,0.9794542693985513,1.036151453157284,0,0
300,92,1.0277536211824572,1.035606452822655,1,0
300,93,0.9873465226635215,1.0310982729191975,0,0
300,94,1.0077151414469456,1.0399971656106157,1,0
300,95,1.001729653496635,1.0337237108494626,1,0
300,96,1.0258716131831798,1.0470653007479542,1,0
300,97,1.0219434076496658,1.0371977726803334,1,0
300,98,1.0165020010028991,1.0324771226680387,1,0
300,99,0.977110628091869,1.0376613059647333,0,0
1000,0,1.0115520948895504,1.0277419318864385,1,0
1000,1,1.0089130485803812,1.0311892551444826,1,0
1000,2,0.9874684136433236,1.0366876743382076,0,0
1000,3,1.00324503532203,1.0353207337425345,1,0
1000,4,1.0181335144754773,1.0395037222866808,1,0
1000,5,1.0322779084052107,1.0238530669913932,1,1
1000,6,1.0204521391361931,1.0321734463620298,1,0
1000,7,1.014527709394853,1.02999604198747,1,0
1000,8,0.9950228977014847,1.0338123302303628,0,0
1000,9,0.9926506911144946,1.0344055057317243,0,0
1000,10,0.9907650562123044,1.0314587462267306,0,0
1000,11,1.0123925370302762,1.027669486061769,1,0
1000,12,0.9988682805060537,1.0274624380873487,0,0
1000,13,1.0254707896910096,1.0317005786200353,1,0
1000,14,1.0144833607722157,1.0301785451177052,1,0
1000,15,0.9788524954534281,1.036683868719885,0,0
1000,16,1.0052255408290878,1.035490678102629,1,0
1000,17,1.0036731660722558,1.0334200774404219,1,0
1000,18,0.9844078823938494,1.0309386389566464,0,0
1000,19,0.9981948174940726,1.0306208049862073,0,0
1000,20,1.041297356486186,1.0336338038100847,1,1
1000,21,1.0242442494106263,1.0268709678721175,1,0
1000,22,0.9741811037646176,1.0281600184423683,0,0
1000,23,0.9957338259261046,1.0387032270948384,0,0
1000,24,1.0020678029973236,1.028114500514517,1,0
1000,25,1.0084029740740825,1.0381781350810613,1,0
1000,26,1.01365052979455,1.0356314779857476,1,0
1000,27,1.033037164108403,1.0271627960996799,1,1
1000,28,0.9969221033700696,1.0368169275734909,0,0
1000,29,1.0133885149986812,1.0223532525324917,1,0
1000,30,0.9962316628374005,1.0376910541443622,0,0
1000,31,0.9875830813839789,1.0232754457738764,0,0
1000,32,0.9818994795315015,1.0261171409165315,0,0
1000,33,1.0020930380791442,1.029848939088043,1,0
1000,34,1.0001955084816707,1.023375835783015,1,0
1000,35,1.03499706620775,1.0344594226114507,1,1
1000,36,0.9949431775644126,1.0255216860765768,0,0
1000,37,0.9950386202618807,1.036514813373675,0,0
1000,38,1.0036189324181142,1.0252949870252865,1,0
1000,39,0.9918717991295015,1.0225620461647014,0,0
1000,40,0.9853155212282502,1.0188955556977513,0,0
1000,41,0.9947618316898058,1.0364644245653818,0,0
1000,42,1.0117752120352679,1.031211486896795,1,0
1000,43,0.9829661294957872,1.0303703430551332,0,0
1000,44,1.0139064886961524,1.0284160063760366,1,0
1000,45,0.9937969453471313,1.031075079980874,0,0
1000,46,0.9982007295020376,1.037770587637762,0,0
1000,47,1.0066669555313705,1.0263436166947872,1,0
1000,48,1.0315646346975098,1.024984331170001,1,1
1000,49,1.0088776930307994,1.026703240277338,1,0
1000,50,1.0155414725790395,1.025507622544221,1,0
1000,51,1.0211370515363336,1.0263336122788649,1,0
1000,52,1.0010525177987997,1.03174521971564,1,0
1000,53,0.9961313051557802,1.0370831035846055,0,0
1000,54,1.0089099521756595,1.0259801963631467,1,0
1000,55,0.9806287831145613,1.0268459164111778,0,0
1000,56,1.0062337955896528,1.0370933233237332,1,0
1000,57,0.9978649709750557,1.0324194692109834,0,0
1000,58,1.019156509880066,1.0322913526601147,1,0
1000,59,1.009074306075053,1.0228225536357956,1,0
1000,60,1.0053411451032486,1.033815777189138,1,0
1000,61,1.0163801109772843,1.0262964152050478,1,0
1000,62,0.9793927313878051,1.0317204062559673,0,0
1000,63,0.997835898156651,1.023052787697642,0,0
1000,64,0.9959306754088212,1.0188559311754835,0,0
1000,65,1.031665975915123,1.0220236986441833,1,1
1000,66,1.0164524716573915,1.0210928010790334,1,0
1000,67,0.9947521459699658,1.0340050265923233,0,0
1000,68,1.000639427955509,1.0359175302311112,1,0
1000,69,0.9939583833171618,1.0267438840172183,0,0
1000,70,1.0060003392903096,1.030751545626003,1,0
1000,71,1.0157722304674626,1.0294211801789832,1,0
1000,72,0.9779389511632597,1.032417905397958,0,0
1000,73,0.9959961417183473,1.0311927689245513,0,0
1000,74,1.0007929833117444,1.0376875223831885,1,0
1000,75,1.0191511210811852,1.0283728065425883,1,0
1000,76,0.999705331846936,1.0415893207543288,0,0
1000,77,0.9880433807089047,1.0301333494268772,0,0
1000,78,1.0051094409345878,1.039097707425249,1,0
1000,79,1.0041457363626034,1.030723659074975,1,0
1000,80,1.0157221292282008,1.0301829490851104,1,0
1000,81,0.9725069719233409,1.0334035223325775,0,0
1000,82,0.9975484530311209,1.0356107840822566,0,0
1000,83,0.9939368570711712,1.0299238901250412,0,0
1000,84,1.0275809485545002,1.0452435992841236,1,0
1000,85,0.9793250184294557,1.0294148706411381,0,0
1000,86,1.0025437360711962,1.031836001982696,1,0
1000,87,0.9985564795158849,1.034591802530325,0,0
1000,88,0.969891797973878,1.0239455333405003,0,0
1000,89,1.0174839098870316,1.0229088537962243,1,0
1000,90,1.0292274606136804,1.031868963605498,1,0
1000,91,0.9818082584926205,1.0216848668902432,0,0
1000,92,1.0099918660229132,1.0234043070858447,1,0
1000,93,0.9734528508755481,1.032300074463579,0,0
1000,94,0.9969674649413385,1.0350682128771034,0,0
1000,95,1.0180323039189973,1.0308073638089785,1,0
1000,96,1.0100430709097385,1.032451446910955,1,0
1000,97,1.0095128131196764,1.038267156429644,1,0
1000,98,0.9844037095573752,1.0190427927667156,0,0
1000,99,1.0158421035187803,1.0241632093687003,1,0
