model,N,effect,replicate,lambda_emp,lambda_sd_emp,lambda_mu_perm,lambda_s_perm,lambda_z,lambda_p_one_sided,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,100,0.015,4,1.0318634175641719,0.009743033111736413,1.0276932070571467,0.010129201675717873,0.4169028118492978,0.3383747483784869,0,1.1538520387491018,1.4645517162604853,,0
cline,100,0.015,5,1.0187753230205974,0.009375390110945719,1.0232251908793903,0.010711093028509262,-0.4598641928784451,0.6771931483699706,0,1.1539312229500482,1.4645517162604853,,0
cline,100,0.015,6,1.0346367058423964,0.010722628222516151,1.0235820725372147,0.011198315591323837,1.0039513215019376,0.15770103873731056,0,1.1400751641414184,1.4645517162604853,,0
cline,100,0.015,7,1.0248178254116513,0.010790487185986524,1.0265272538111962,0.008291139859922346,-0.15613219566119982,0.562035589457648,0,1.15653485651089,1.4645517162604853,,0
cline,100,0.015,8,1.0358761505438836,0.011697984925689383,1.0245487846173913,0.013483017144051581,0.9376764530629745,0.17420535415416416,0,1.145489230285391,1.4645517162604853,,0
cline,100,0.015,9,1.0309807282683738,0.011467413873086299,1.026334993695334,0.008776861448222695,0.3993190747002501,0.3448290569794418,0,1.1506903591941098,1.4645517162604853,,0
cline,100,0.015,10,1.0299692866365406,0.009636531613381641,1.0231294540705431,0.011102954713076327,0.6873369766397656,0.24593520130177904,0,1.146976889699948,1.4645517162604853,,0
cline,100,0.015,11,1.0389305737007217,0.011576314766077296,1.028426456971194,0.006212841516188088,0.9009159079579434,0.18381651620234662,0,1.1514178908789758,1.4645517162604853,,0
cline,100,0.015,12,1.0261456809257778,0.011791397747040914,1.0316587157705324,0.008833874958239986,-0.46112161142603925,0.6776443212919371,0,1.150236462001748,1.4645517162604853,,0
cline,100,0.015,13,1.0302354879251527,0.0096238351567424,1.0304092608881634,0.009555957417452911,-0.017627258697641954,0.5070318946215027,0,1.1473487105702436,1.4645517162604853,,0
cline,100,0.015,14,1.0351668550289266,0.011742555331383771,1.0266743023696,0.008747342982826894,0.7133994662984711,0.23779930163085283,0,1.146643649661963,1.4645517162604853,,0
cline,100,0.015,15,1.0180457963396856,0.012042298981015666,1.028032508806449,0.006574448197652047,-0.8231915447348519,0.794800461818769,0,1.1548532574082313,1.4645517162604853,,0
cline,100,0.015,16,1.0304777289288385,0.011378787540040946,1.0306701980334396,0.012255621229162851,-0.016444536468234756,0.5065601252095673,0,1.140992457568624,1.4645517162604853,,0
cline,100,0.015,17,1.0312375370862323,0.010495210583492192,1.0251434108879904,0.010519158124291408,0.5666023870561973,0.28549217641366864,0,1.1550144421421482,1.4645517162604853,,0
cline,100,0.015,18,1.0330685693162405,0.010183581769706093,1.02666976370661,0.012625299990070548,0.6055087937507947,0.2724204917527937,0,1.142772043688733,1.4645517162604853,,0
cline,100,0.015,19,1.0313099546884557,0.011446871459294452,1.0238237901775602,0.008408476426261203,0.6453446458228428,0.2593519332399883,0,1.153479024665581,1.4645517162604853,,0
cline,100,0.015,20,1.0209968602070987,0.011208573476105346,1.0280789041240648,0.014206233851372646,-0.6078997052708309,0.7283730024661683,0,1.1532556594965984,1.4645517162604853,,0
cline,100,0.015,21,1.0312980514045205,0.009951365336711494,1.02644429949471,0.01242308641813244,0.46978712087395297,0.3192535584014574,0,1.1429248473822093,1.4645517162604853,,0
cline,100,0.015,22,1.0191218178837353,0.010703741211726627,1.0261167110475629,0.01006101765184741,-0.6395267450576623,0.7387598396901172,0,1.1464878293177658,1.4645517162604853,,0
cline,100,0.015,23,1.041495486465989,0.011804047001882196,1.028418152663948,0.009997486808166584,1.0885198943762697,0.1381828294185834,0,1.1507918136183097,1.4645517162604853,,0
cline,100,0.015,24,1.0382369995677472,0.009777268713213567,1.024502569108035,0.010882387968969473,1.363147214643719,0.08641805957335247,0,1.1447160074890024,1.4645517162604853,,0
cline,100,0.015,25,1.0108132653082276,0.009014701858963563,1.02440733457334,0.01309274738675913,-1.4342492603734198,0.9242494279119863,0,1.1430376576591876,1.4645517162604853,,0
cline,100,0.015,26,1.0256976134193618,0.012312809047877932,1.0266375253704862,0.009755969962620015,-0.07516548922970827,0.5299584788725065,0,1.1466100038616363,1.4645517162604853,,0
cline,100,0.015,27,1.0246954070117562,0.012211205558458903,1.026993402325575,0.009003032850921841,-0.18568104381213474,0.5736525526771042,0,1.153962052731005,1.4645517162604853,,0
cline,100,0.015,28,1.0287503785874854,0.009648684309018598,1.0276822487737045,0.00850525967373124,0.10861234304045311,0.45675498517235225,0,1.1459226741544803,1.4645517162604853,,0
cline,100,0.015,29,1.0364000652254581,0.009986329545673519,1.022875967371325,0.012157061205252302,1.3067128102076033,0.09565513318324426,0,1.1569645608835168,1.4645517162604853,,0
cline,100,0.015,30,1.0260178002786315,0.010528440295861148,1.024474673106935,0.011790611957120993,0.1421775252379829,0.44346989184731567,0,1.1503559355630313,1.4645517162604853,,0
cline,100,0.015,31,1.0171501362832724,0.010072766893198946,1.0265071560487533,0.011312150398399515,-0.9009685127446309,0.8161974692846781,0,1.1442942290609572,1.4645517162604853,,0
cline,100,0.015,32,1.015665381840549,0.010537619803939482,1.024177561836584,0.00842311579917551,-0.7951875474641464,0.7867477928506672,0,1.1437606228962056,1.4645517162604853,,0
cline,100,0.015,33,1.0311492107875164,0.011235077357830248,1.027259938895644,0.012653044758277688,0.33569152032255856,0.3685517504712227,0,1.146447624138391,1.4645517162604853,,0
cline,100,0.015,34,1.0263298550537445,0.010318615197393034,1.0248202798212351,0.013169591370677566,0.14067951090976197,0.444061566015175,0,1.1576147179353247,1.4645517162604853,,0
cline,100,0.015,35,1.0418921945648825,0.01072075139479407,1.0275555764655955,0.011026138035760908,1.3032573138056343,0.09624346447629872,0,1.1462760704098558,1.4645517162604853,,0
cline,100,0.015,36,1.0188014090236845,0.012031673999606833,1.0268148417767824,0.012600541719281955,-0.6484840142208124,0.7416640265639806,0,1.1567349084096763,1.4645517162604853,,0
cline,100,0.015,37,1.0121513665936923,0.010022456019999692,1.0241514197441999,0.009964711725164783,-1.1687811582780891,0.8787540932287825,0,1.1540850260428634,1.4645517162604853,,0
cline,100,0.015,38,1.018264263726281,0.0120444138434973,1.0289922990442688,0.011756835027096096,-0.8702185021795875,0.8079094967250737,0,1.1514576360551017,1.4645517162604853,,0
cline,100,0.015,39,1.0212228094140328,0.011380101034469207,1.0293507196059337,0.007911619634273037,-0.7057445882758935,0.7598265064898645,0,1.1437787342379304,1.4645517162604853,,0
cline,100,0.015,40,1.0133741270188128,0.011795662640639793,1.0264199650385035,0.010023667556223812,-1.086544599499464,0.8613809398633179,0,1.1483930378337859,1.4645517162604853,,0
cline,100,0.015,41,1.028305868009386,0.010286032303405048,1.026883284688901,0.010567750869510726,0.1347912708301832,0.44638845385944037,0,1.153461877734357,1.4645517162604853,,0
cline,100,0.015,42,1.0390579316454116,0.01045843550523067,1.0316824983413433,0.009360043422846985,0.6915027401185898,0.24462482967191645,0,1.1484156729535115,1.4645517162604853,,0
cline,100,0.015,43,1.0290355230286303,0.01110089962816735,1.0283058754539671,0.013112891081167555,0.06354923871275572,0.47466457581275157,0,1.1466782685609447,1.4645517162604853,,0
cline,100,0.015,44,1.0082294495542248,0.01077568400796908,1.0223221532823479,0.010494636150448529,-1.2778734040356197,0.8993529664675417,0,1.1500479081605746,1.4645517162604853,,0
cline,100,0.015,45,1.0261809653948593,0.010426083530574726,1.0249607385609638,0.013815051541586574,0.11221407700998205,0.45532683391318407,0,1.1454680461073354,1.4645517162604853,,0
cline,100,0.015,46,1.0226553341155094,0.012166870774198327,1.0247559790549718,0.012640481455468134,-0.1681744299488885,0.566776971814613,0,1.1471850185674042,1.4645517162604853,,0
cline,100,0.015,47,1.0149996937255998,0.009542156356735875,1.0268571800451747,0.01060447033998098,-1.205964286857685,0.8860843695189735,0,1.1508926798012715,1.4645517162604853,,0
cline,100,0.015,48,1.033088465129869,0.010438209472069627,1.021790794808997,0.012459589925899352,1.0457297094743372,0.14784292099667706,0,1.1549280986527022,1.4645517162604853,,0
cline,100,0.015,49,1.0187727497613595,0.012294101698731625,1.0276065686865121,0.006495829738306758,-0.7135781671920337,0.762255969003484,0,1.1453231634547716,1.4645517162604853,,0
cline,150,0.005,0,1.0235441067457736,0.010299940328360868,1.0151310231547943,0.01321312003895265,0.7851452907522083,0.21618419389826582,0,1.189943643185075,1.469426588681018,,0
cline,150,0.005,1,1.027720248032695,0.011159255457083132,1.0184130069819137,0.011713954431033262,0.8119702273023779,0.2084043577309852,0,1.1972258492917958,1.469426588681018,,0
cline,150,0.005,2,0.9994736990749473,0.010192680281405414,1.0160298123240117,0.014113182670640377,-1.5516444053189462,0.9396263340645127,0,1.1842114461759172,1.469426588681018,,0
cline,150,0.005,3,1.014800539653657,0.01221560741762138,1.0205993494978476,0.012186055313486464,-0.4633179510639871,0.6784317597336682,0,1.1836133938754068,1.469426588681018,,0
cline,150,0.005,4,1.00306021497134,0.011632623971246132,1.0148415171984364,0.00944052675043243,-0.9965059986024504,0.8404978230270748,0,1.1854379411148745,1.469426588681018,,0
cline,150,0.005,5,1.004272763004036,0.011851386284288647,1.013913334611011,0.01052778867756755,-0.7978673793947145,0.7875262723960079,0,1.1830216893623988,1.469426588681018,,0
