model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.006,28,1.0491126494783105,1.0,,1,1.6017709077728988,1.5477320613535541,,1
mixture,100,0.006,29,1.0334831759410752,1.0,,1,1.599217214971584,1.5477320613535541,,1
mixture,100,0.006,30,1.0238826216239707,1.0,,1,1.6454613501851858,1.5477320613535541,,1
mixture,100,0.006,31,1.0207227170266941,1.0,,1,1.6310298887544974,1.5477320613535541,,1
mixture,100,0.006,32,1.0558122580340779,1.0,,1,1.5729851297336095,1.5477320613535541,,1
mixture,100,0.006,33,1.0278543611711268,1.0,,1,1.601266592030954,1.5477320613535541,,1
mixture,100,0.006,34,1.0283919845892775,1.0,,1,1.5842380177660178,1.5477320613535541,,1
mixture,100,0.006,35,1.0130106298964703,1.0,,1,1.605608460360897,1.5477320613535541,,1
mixture,100,0.006,36,1.034728354863616,1.0,,1,1.6180075793046687,1.5477320613535541,,1
mixture,100,0.006,37,1.0828531068222904,1.0,,1,1.5872313331283263,1.5477320613535541,,1
mixture,100,0.006,38,1.0535352796431219,1.0,,1,1.6082497714288928,1.5477320613535541,,1
mixture,100,0.006,39,1.012550425141178,1.0,,1,1.6355131075134044,1.5477320613535541,,1
mixture,100,0.006,40,1.052920873958264,1.0,,1,1.6035632851915502,1.5477320613535541,,1
mixture,100,0.006,41,1.038568832991135,1.0,,1,1.62970112549376,1.5477320613535541,,1
mixture,100,0.006,42,1.010254654275607,1.0,,1,1.6288972345978565,1.5477320613535541,,1
mixture,100,0.006,43,1.0514354769720429,1.0,,1,1.5882051171562215,1.5477320613535541,,1
mixture,100,0.006,44,1.0382461185189267,1.0,,1,1.6129994481026781,1.5477320613535541,,1
mixture,100,0.006,45,1.0480332978573106,1.0,,1,1.6157860366086882,1.5477320613535541,,1
mixture,100,0.006,46,1.0510271689445452,1.0,,1,1.630057906873849,1.5477320613535541,,1
mixture,100,0.006,47,1.0264354753189016,1.0,,1,1.6276357243165904,1.5477320613535541,,1
mixture,100,0.006,48,1.0230740462785388,1.0,,1,1.640509632084635,1.5477320613535541,,1
mixture,100,0.006,49,1.022370811561527,1.0,,1,1.6106509815359549,1.5477320613535541,,1
mixture,100,0.006,50,1.0408253500106053,1.0,,1,1.600926523314532,1.5477320613535541,,1
mixture,100,0.006,51,1.0117783458165308,1.0,,1,1.6046904628890277,1.5477320613535541,,1
mixture,100,0.006,52,1.0022480803777067,1.0,,1,1.6405761236611212,1.5477320613535541,,1
mixture,100,0.006,53,1.0519775429476872,1.0,,1,1.6045622233455683,1.5477320613535541,,1
mixture,100,0.006,54,1.0274362294476331,1.0,,1,1.6023288605000303,1.5477320613535541,,1
mixture,100,0.006,55,1.0527721501180476,1.0,,1,1.604736074743418,1.5477320613535541,,1
mixture,100,0.006,56,1.0259666802102958,1.0,,1,1.6043194943724217,1.5477320613535541,,1
mixture,100,0.006,57,1.016009178841789,1.0,,1,1.6089433051145006,1.5477320613535541,,1
mixture,100,0.006,58,1.03821312693613,1.0,,1,1.6231305283889954,1.5477320613535541,,1
mixture,100,0.006,59,1.0258059536904323,1.0,,1,1.571128474542399,1.5477320613535541,,1
mixture,100,0.006,60,0.9682021173234931,1.0,,0,1.5797756093040736,1.5477320613535541,,1
mixture,100,0.006,61,1.0422723120540065,1.0,,1,1.5976197480485257,1.5477320613535541,,1
mixture,100,0.006,62,1.0456783356897164,1.0,,1,1.6174044985824962,1.5477320613535541,,1
mixture,100,0.006,63,1.038012479228614,1.0,,1,1.6267289539562577,1.5477320613535541,,1
mixture,100,0.006,64,1.0329624007003708,1.0,,1,1.5995248647531728,1.5477320613535541,,1
mixture,100,0.006,65,1.026224532784188,1.0,,1,1.5721114767498499,1.5477320613535541,,1
mixture,100,0.006,66,1.06492824727281,1.0,,1,1.5948784019876223,1.5477320613535541,,1
mixture,100,0.006,67,0.9932100774590173,1.0,,0,1.6057291900368382,1.5477320613535541,,1
mixture,100,0.006,68,1.039358956929208,1.0,,1,1.64227194585798,1.5477320613535541,,1
mixture,100,0.006,69,1.0164972801402445,1.0,,1,1.608364561688688,1.5477320613535541,,1
mixture,100,0.006,70,1.0069135559438487,1.0,,1,1.6349859456789675,1.5477320613535541,,1
mixture,100,0.006,71,1.0344387284593777,1.0,,1,1.6175087271756303,1.5477320613535541,,1
mixture,100,0.006,72,1.0219059037576457,1.0,,1,1.6442113438674244,1.5477320613535541,,1
mixture,100,0.006,73,1.0081652181098157,1.0,,1,1.571343462148516,1.5477320613535541,,1
mixture,100,0.006,74,1.0143858959984653,1.0,,1,1.5775980359528892,1.5477320613535541,,1
mixture,100,0.006,75,1.052534112936638,1.0,,1,1.610462796850642,1.5477320613535541,,1
mixture,100,0.006,76,1.0420130540523056,1.0,,1,1.5989500719305156,1.5477320613535541,,1
mixture,100,0.006,77,0.9983762829015735,1.0,,0,1.6070211442930957,1.5477320613535541,,1
mixture,100,0.006,78,1.0305004437698397,1.0,,1,1.6403848027200119,1.5477320613535541,,1
mixture,100,0.006,79,1.0221769537621055,1.0,,1,1.5932096009227288,1.5477320613535541,,1
mixture,100,0.006,80,1.0296591953332637,1.0,,1,1.6421078491402292,1.5477320613535541,,1
mixture,100,0.006,81,1.0337775912541438,1.0,,1,1.6412510075241364,1.5477320613535541,,1
mixture,100,0.006,82,1.0225360116593336,1.0,,1,1.608906898922279,1.5477320613535541,,1
mixture,100,0.006,83,1.034305810431742,1.0,,1,1.5639264529335604,1.5477320613535541,,1
mixture,100,0.006,84,1.0323364897337142,1.0,,1,1.5904101773162702,1.5477320613535541,,1
mixture,100,0.006,85,1.0553966504393577,1.0,,1,1.5687315805101858,1.5477320613535541,,1
mixture,100,0.006,86,1.036455329198808,1.0,,1,1.5970987370013916,1.5477320613535541,,1
mixture,100,0.006,87,1.0492868371733064,1.0,,1,1.6068138862191188,1.5477320613535541,,1
mixture,100,0.006,88,1.0017452772281656,1.0,,1,1.6489311976352776,1.5477320613535541,,1
mixture,100,0.006,89,1.027522928518801,1.0,,1,1.6220842340857475,1.5477320613535541,,1
mixture,100,0.006,90,1.042392527871806,1.0,,1,1.6545902724274073,1.5477320613535541,,1
